open_time,open,high,low,close,volume
1732041840000,93536.96,93660.0,93496.0,93648.48,129.49805
1732041900000,93648.47,93683.15,93639.15,93661.93,29.9704
1732041960000,93661.94,93856.0,93654.9,93800.01,143.4505
1732042020000,93800.01,93800.01,93608.21,93727.56,75.43113
1732042080000,93727.56,93756.65,93680.21,93720.0,109.63592
1732042140000,93720.0,93726.56,93437.92,93523.22,109.79883
1732042200000,93523.23,93636.0,93480.0,93546.48,39.71305
1732042260000,93546.48,93717.41,93546.48,93716.0,33.20664
1732042320000,93716.0,93749.99,93664.0,93690.6,38.30426
1732042380000,93690.6,93800.0,93608.65,93643.76,110.13411
1732042440000,93643.75,93811.98,93593.45,93720.01,91.62282
1732042500000,93717.3,93828.98,93661.46,93692.01,59.96924
1732042560000,93692.01,93780.0,93661.47,93668.92,39.15373
1732042620000,93668.92,93756.0,93668.0,93706.92,53.30888
1732042680000,93706.92,93720.42,93676.0,93688.05,18.11961
1732042740000,93688.04,93688.05,93576.33,93646.15,52.17723
1732042800000,93646.16,93715.65,93646.16,93692.36,24.78494
1732042860000,93692.36,93692.36,93300.0,93342.29,111.3413
1732042920000,93342.29,93375.99,93206.81,93281.24,89.79229
1732042980000,93281.23,93333.14,93120.47,93192.01,77.63035
1732043040000,93192.01,93316.0,93188.0,93247.95,43.41213
1732043100000,93247.95,93287.8,93124.0,93234.44,36.75903
1732043160000,93234.44,93327.99,93202.79,93275.27,24.72172
1732043220000,93275.27,93455.99,93260.0,93385.92,41.21741
1732043280000,93385.92,93494.59,93385.92,93467.94,40.77387
1732043340000,93467.94,93507.0,93436.0,93446.57,31.53524
1732043400000,93446.57,93687.59,93446.57,93682.21,56.01894
1732043460000,93682.2,93865.0,93679.87,93832.0,130.46236
1732043520000,93832.0,93875.38,93764.0,93792.0,73.23377
1732043580000,93791.99,93876.0,93791.99,93863.01,91.53416
1732043640000,93864.01,93905.51,93836.15,93867.65,64.69189
1732043700000,93867.65,93875.99,93756.0,93859.49,38.00507
1732043760000,93859.5,93870.91,93716.02,93736.0,28.16508
1732043820000,93735.99,93787.88,93697.02,93746.9,32.19801
1732043880000,93746.9,93768.01,93673.16,93715.99,19.25339
1732043940000,93715.99,93787.88,93638.61,93776.0,44.35718
1732044000000,93775.99,93794.88,93685.05,93794.88,19.47411
1732044060000,93794.88,93816.0,93712.0,93727.27,34.53807
1732044120000,93727.28,93771.99,93656.8,93682.29,30.98846
1732044180000,93683.08,93770.98,93572.0,93577.63,43.01588
1732044240000,93577.64,93615.63,93501.68,93599.99,70.18544
1732044300000,93599.99,93600.0,93500.0,93500.01,42.14973
1732044360000,93500.01,93624.0,93500.0,93588.55,53.13441
1732044420000,93588.56,93666.67,93577.48,93624.0,19.09683
1732044480000,93624.0,93720.0,93623.35,93656.71,21.74155
1732044540000,93656.71,93719.49,93604.0,93604.0,20.44269
1732044600000,93604.01,93683.99,93600.0,93683.99,20.14332
1732044660000,93683.99,93695.75,93510.0,93510.0,17.65101
1732044720000,93510.0,93532.0,93401.09,93423.97,30.95399
1732044780000,93423.99,93533.22,93408.0,93487.17,27.55373
1732044840000,93487.17,93499.6,93417.08,93424.25,20.80308
1732044900000,93424.24,93471.44,93312.92,93394.51,62.52115
1732044960000,93394.5,93554.5,93386.73,93487.17,62.30242
1732045020000,93487.17,93537.27,93484.84,93510.01,21.68509
1732045080000,93510.02,93524.0,93460.0,93465.56,20.78164
1732045140000,93465.57,93580.0,93465.57,93580.0,30.66603
1732045200000,93579.99,93658.26,93571.34,93636.37,32.66419
1732045260000,93636.38,93723.87,93636.37,93715.99,35.13389
1732045320000,93715.99,93716.0,93606.53,93606.53,12.96151
1732045380000,93606.53,93636.37,93544.0,93559.83,16.61307
1732045440000,93559.84,93589.74,93545.52,93545.53,11.93451
1732045500000,93545.53,93589.74,93544.01,93550.6,13.62998
1732045560000,93550.6,93560.05,93454.54,93497.92,15.30564
1732045620000,93497.92,93497.92,93350.0,93424.24,27.61346
1732045680000,93424.25,93424.25,93316.81,93316.82,49.66804
1732045740000,93316.82,93338.92,93296.23,93314.85,28.74536
1732045800000,93314.85,93416.0,93299.49,93384.66,71.47694
1732045860000,93384.67,93461.62,93340.0,93459.4,26.52474
1732045920000,93459.41,93469.15,93402.98,93414.79,20.295
1732045980000,93414.79,93466.04,93394.02,93394.02,18.85643
1732046040000,93394.03,93394.03,93286.49,93286.49,26.77678
1732046100000,93286.5,93302.32,93272.35,93290.78,24.15085
1732046160000,93290.78,93348.0,93272.72,93280.74,16.94844
